ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
419,Banrisul Corretora de Seguros,Serviços Financeiros,True,False
420,Basf,Petróleo e Químico,True,True
421,Bayer,Farmacêutico e Beleza,True,True
422,Banco do Brasil,Bancos,True,True
423,Laboratórios B. Braun,Saúde e Serviços de Saúde,True,
424,Banco BCV,Bancos,True,True
425,BD Gestão de Recursos,Serviços Financeiros,True,True
426,BSBios,Energia,True,False
427,Belagrícola,Agronegócio,True,False
428,Bem Promotora,Serviços Financeiros,True,False
429,Berkley International do Brasil Seguros,Seguradoras,True,True
430,Banco Industrial do Brasil,Bancos,True,False
431,Blau Farmacêutica,Farmacêutico e Beleza,True,False
432,Bluefit Academias,Saúde e Serviços de Saúde,True,True
433,BMG Seguros,Seguradoras,True,False
434,BNB,Bancos,True,
435,BNY Mellon Banco,Bancos,True,True
436,Boa Safra,Agronegócio,,
437,Banco Bocom BBM,Bancos,True,True
438,Bombril,Bens de Capital e Eletroeletrônicos,True,True
439,Borealis Brasil,Petróleo e Químico,True,True
440,O Boticário,Farmacêutico e Beleza,True,True
441,Bozel,"Siderurgia, Mineração e Metalurgia",,
442,BP Bunge Bioenergia,Energia,True,True
443,Banco MUFG,Bancos,True,True
444,ICBC do Brasil - Banco Múltiplo,Bancos,True,False
445,Mahle,Bens de Capital e Eletroeletrônicos,True,False
446,Scotiabank,Bancos,True,False
447,Banco Bradescard,Bancos,True,True
448,Banco Bradesco BBI,Bancos,True,False
449,Bradesco Seguros,Seguradoras,True,True
450,Brametal,"Siderurgia, Mineração e Metalurgia",True,True
451,Braskem,Petróleo e Químico,True,False
452,Brasoftware Informática,Tecnologia e Telecomunicações,True,False
453,Braspress Transportes Urgentes,"Transporte, Logística e Serviços Logísticos",True,
454,MS Bank,Bancos,True,
455,BRF,Alimentos e Bebidas,True,False
456,BRK Ambiental,Saneamento e Meio Ambiente,False,True
457,Banco Ribeirão Preto,Bancos,True,False
458,BRQ,Tecnologia e Telecomunicações,True,True
459,BTG Pactual,Bancos,True,True
460,Bunge,Agronegócio,True,True
461,Burguer King,Alimentos e Bebidas,True,True
462,Banco HSBC,Bancos,True,
463,Banco Votorantim,Bancos,True,True
464,Cabelauto,Bens de Capital e Eletroeletrônicos,True,True
465,Caixa,Bancos,True,True
466,Calçados Beira Rio,Moda e Vestuário,True,
467,Camil,Agronegócio,True,True
468,Cia Canoinhas,Papel e Celulose,True,True
469,Cantu,Atacado e Varejo,True,True
470,Caramuru Alimentos,Agronegócio,True,False
471,Care Plus Medicina Assistencial,Operadoras de Planos de Saúde,True,True
472,Cargill Alimentos,Alimentos e Bebidas,True,True
473,Banco Carrefour,Bancos,True,True
